00:  1100|0001 | 83 | 10000011 
01:  0110|0000 | 06 | 00000110 
02:  0000|0000 | 00 | 00000000 
03:  0100|1110 | 72 | 01110010 
04:  0000|0000 | 00 | 00000000 
05:  0000|0000 | 00 | 00000000 
06:  0000|0001 | 80 | 10000000 
07:  0011|1000 | 1C | 00011100 
08:  0000|0000 | 00 | 00000000 
09:  0000|0000 | 00 | 00000000 
10:  0000|0000 | 00 | 00000000 
11:  0000|0000 | 00 | 00000000 
12:  0000|0000 | 00 | 00000000 
13:  0111|0111 | EE | 11101110 
14:  0000|0000 | 00 | 00000000 
15:  0100|0000 | 02 | 00000010 
16:  0000|0000 | 00 | 00000000 
17:  0000|0000 | 00 | 00000000 
18:  0001|0000 | 08 | 00001000 
19:  0000|0000 | 00 | 00000000 
20:  0101|0000 | 0A | 00001010 
